Sample	Family ID	Gender	Relationship
HG01626	IBS016	female	mother
HG01627	IBS016	male	child
HG01628	IBS015	female	mother
HG01629	IBS015	male	child
HG01630	IBS015	male	father
HG01631	IBS014	male	father
HG01632	IBS014	female	mother
HG01633	IBS014	male	child
HG01667	IBS025	male	child
HG01668	IBS025	female	mother
HG01669	IBS025	male	father
HG01670	IBS026	female	mother
HG01671	IBS026	male	child
HG01672	IBS026	male	father
HG01673	IBS027	female	mother
HG01674	IBS027	male	child
HG01675	IBS027	male	father
HG01676	IBS028	female	mother
HG01677	IBS028	female	child
HG01678	IBS028	male	father
HG01679	IBS029	female	mother
HG01680	IBS029	male	father
HG01681	IBS029	female	child
HG01682	IBS030	male	father
HG01683	IBS030	male	child
HG01684	IBS030	female	mother
HG01685	IBS031	female	mother
HG01686	IBS031	male	father
HG01687	IBS031	female	child
HG01694	IBS034	male	father
HG01695	IBS034	female	mother
HG01696	IBS034	male	child
HG01697	IBS035	female	mother
HG01698	IBS035	male	child
HG01699	IBS035	male	father
HG01700	IBS036	male	father
HG01701	IBS036	male	child
HG01702	IBS036	female	mother
HG01703	IBS037	male	child
HG01704	IBS037	female	mother
HG01705	IBS037	male	father
HG01706	IBS038	female	child
HG01707	IBS038	female	mother
HG01708	IBS038	male	father
HG01709	IBS039	male	father
HG01710	IBS039	female	mother
HG01711	IBS039	female	child
HG01746	IBS041	female	mother
HG01747	IBS041	male	father
HG01748	IBS041	male	child
HG01755	IBS044	female	child
HG01756	IBS044	male	father
HG01757	IBS044	female	mother
HG01761	IBS046	male	father
HG01762	IBS046	female	mother
HG01763	IBS046	female	child
HG01764	IBS047	female	child
HG01765	IBS047	male	father
HG01766	IBS047	female	mother
HG01767	IBS048	male	father
HG01768	IBS048	female	mother
HG01769	IBS048	female	child
HG01770	IBS049	female	mother
HG01771	IBS049	male	father
HG01772	IBS049	female	child
HG01773	IBS050	female	mother
HG01774	IBS050	male	child
HG01775	IBS050	male	father
HG01776	IBS051	female	mother
HG01777	IBS051	male	father
HG01778	IBS051	male	child
HG01779	IBS052	female	mother
HG01780	IBS052	male	child
HG01781	IBS052	male	father
HG01782	IBS053	female	child
HG01783	IBS053	male	father
HG01784	IBS053	female	mother
HG01785	IBS054	male	father
HG01786	IBS054	female	mother
HG01787	IBS054	female	child
HG01789	HG01789	male	null
HG01790	HG01790	female	null
HG01791	HG01791	male	null
HG01794	HG01794	female	null
HG01795	HG01795	female	null
HG01796	HG01796	female	null
HG01797	HG01797	female	null
